Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P0A6F5,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,groL,55,3795.21,57274.67483,2,2.16E+00,6.27E+00,5.45E+00,1.86E+00,2.51E+00,2.20E+00,2.51E+00,2.18E+00,2.47E+00,2.25E+00,1.69E+00,1.61E+00,2.52E+00,2.45E+00,2.18E+00,6.22E+00,2.55E+00,2.51E+00,2.59E+00,1.49E+00,2.53E+00,2.37E+00
P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,55,3752.55,117749.3328,2,8.69E-01,8.04E-02,1.32E-01,2.96E-01,4.89E-01,4.36E-01,5.58E-01,3.61E-01,5.87E-01,3.66E-01,2.76E-01,2.18E-01,2.37E-01,2.24E-01,4.40E-01,7.03E-01,5.69E-01,5.25E-01,4.98E-01,3.27E-01,5.10E-01,7.23E-01
P09373,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,pflB,54,3972.86,85284.7241,2,6.54E-01,9.89E-01,9.14E-01,7.99E-01,7.70E-01,8.75E-01,8.30E-01,9.29E-01,9.47E-01,8.50E-01,7.72E-01,6.91E-01,5.04E-01,5.14E-01,6.71E-01,8.07E-01,1.16E+00,8.50E-01,9.95E-01,8.18E-01,9.40E-01,1.08E+00
P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,53,4447.08,69054.47444,2,2.13E+00,6.85E+00,4.43E+00,1.63E+00,1.93E+00,2.00E+00,2.03E+00,1.52E+00,1.78E+00,1.52E+00,1.20E+00,1.10E+00,3.91E+00,3.87E+00,2.37E+00,5.16E+00,3.91E+00,2.12E+00,2.08E+00,1.26E+00,2.26E+00,2.15E+00
P0A705,Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1,infB,52,3380.67,79678.11829,2,4.03E-01,8.98E-01,5.79E-01,2.53E-01,3.35E-01,3.54E-01,3.74E-01,3.52E-01,5.06E-01,3.85E-01,3.08E-01,2.69E-01,1.59E-01,1.87E-01,3.02E-01,5.30E-01,3.60E-01,4.05E-01,3.68E-01,2.42E-01,3.37E-01,4.68E-01
P05793,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,ilvC,52,2706.42,54016.26705,2,2.99E+00,3.07E-01,1.86E-01,1.40E+00,1.79E+00,1.88E+00,2.61E+00,1.26E+00,2.41E+00,1.60E+00,1.04E+00,6.10E-01,1.69E+00,1.54E+00,3.74E+00,3.05E+00,1.77E+00,2.63E+00,2.14E+00,1.22E+00,2.22E+00,3.21E+00
P00864,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,50,3589.35,98982.23464,2,5.97E-01,2.11E-01,2.45E-01,2.22E-01,2.39E-01,5.40E-01,3.59E-01,2.52E-01,7.05E-01,4.72E-01,3.50E-01,2.75E-01,2.16E-01,2.68E-01,4.96E-01,6.03E-01,9.28E-01,5.88E-01,4.35E-01,2.73E-01,2.43E-01,8.43E-01
P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,49,3631.87,95954.64438,2,3.10E-01,5.19E-01,3.94E-01,1.81E-01,2.41E-01,2.66E-01,2.72E-01,2.94E-01,2.75E-01,2.29E-01,1.90E-01,1.65E-01,1.73E-01,1.82E-01,2.73E-01,4.74E-01,3.59E-01,3.81E-01,2.83E-01,2.02E-01,2.90E-01,4.16E-01
P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,49,4276.28,77514.47523,2,5.02E+00,1.11E+01,7.82E+00,2.75E+00,3.73E+00,4.02E+00,4.02E+00,3.69E+00,3.16E+00,2.57E+00,1.99E+00,1.66E+00,1.72E+00,1.60E+00,3.80E+00,4.54E+00,3.84E+00,4.50E+00,3.52E+00,2.64E+00,4.21E+00,4.91E+00
P00961,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,glyS,47,3352.04,76746.96578,2,3.71E-01,8.28E-01,5.27E-01,2.50E-01,3.20E-01,3.23E-01,3.42E-01,3.43E-01,3.42E-01,2.77E-01,2.16E-01,2.07E-01,1.62E-01,1.95E-01,3.42E-01,4.64E-01,3.47E-01,4.21E-01,3.56E-01,2.52E-01,3.12E-01,4.17E-01
P76558,NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1,maeB,46,2485.6,82346.78295,2,6.41E-02,3.38E-01,2.31E-01,2.06E-01,1.83E-01,1.79E-01,1.55E-01,1.72E-01,3.87E-01,4.14E-01,3.91E-01,3.82E-01,7.16E-02,7.88E-02,7.47E-02,1.07E-01,7.42E-02,1.32E-01,2.18E-01,1.35E-01,1.99E-01,1.70E-01
P0AG67,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,rpsA,44,2834,61102.7043,2,2.41E+00,6.58E+00,3.40E+00,1.09E+00,1.72E+00,1.64E+00,2.07E+00,1.47E+00,1.85E+00,1.23E+00,1.01E+00,8.79E-01,9.04E-01,8.38E-01,1.56E+00,2.46E+00,1.79E+00,2.06E+00,1.76E+00,1.15E+00,1.81E+00,2.57E+00
P07813,Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2,leuS,43,2357.38,97153.28428,2,2.98E-01,4.34E-01,3.84E-01,1.94E-01,2.41E-01,2.35E-01,2.43E-01,2.12E-01,2.62E-01,2.21E-01,1.92E-01,1.72E-01,1.43E-01,1.46E-01,2.16E-01,3.40E-01,2.88E-01,2.72E-01,2.21E-01,1.77E-01,2.37E-01,2.90E-01
P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,thrA,42,3126.22,89045.79557,2,8.43E-01,3.19E-01,2.62E-01,3.12E-01,5.06E-01,7.71E-01,6.92E-01,1.51E+00,1.17E+00,4.84E-01,3.02E-01,2.17E-01,3.80E-01,4.14E-01,9.49E-01,6.67E-01,7.81E-01,1.38E+00,6.49E-01,3.07E-01,5.64E-01,1.43E+00
P0AFG3,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,sucA,42,2817.04,104977.5259,2,2.97E-01,1.06E+00,7.79E-01,7.31E-01,4.59E-01,5.80E-01,4.80E-01,7.31E-01,6.35E-01,4.91E-01,4.05E-01,3.75E-01,2.17E-01,1.79E-01,3.10E-01,3.40E-01,4.18E-01,5.59E-01,5.27E-01,2.84E-01,5.96E-01,6.03E-01
P00956,Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ileS,41,2164.51,104212.5396,2,3.75E-01,4.99E-01,4.07E-01,2.33E-01,2.87E-01,2.81E-01,3.14E-01,3.32E-01,2.85E-01,2.36E-01,1.86E-01,1.53E-01,1.60E-01,1.66E-01,3.61E-01,5.10E-01,3.50E-01,4.25E-01,2.81E-01,2.35E-01,2.71E-01,3.50E-01
P25553,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,aldA,41,2623.32,52221.71682,2,3.04E-01,9.74E-01,9.44E-01,1.49E+00,2.50E+00,1.49E+00,1.42E+00,2.37E+00,1.65E+00,2.69E+00,3.10E+00,3.18E+00,1.62E-01,1.62E-01,1.56E-01,1.46E-01,1.62E-01,5.20E-01,2.65E+00,2.48E+00,2.35E+00,8.23E-01
P10408,Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2,secA,40,2576.06,101940.9335,2,1.20E-01,3.04E-01,1.89E-01,7.63E-02,1.13E-01,1.25E-01,1.05E-01,1.34E-01,1.58E-01,1.41E-01,1.28E-01,1.27E-01,5.52E-02,5.79E-02,7.48E-02,1.13E-01,9.35E-02,1.12E-01,1.20E-01,7.48E-02,1.05E-01,1.30E-01
P21889,Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,aspS,40,2303.66,65853.62132,2,2.48E-01,4.76E-01,2.77E-01,1.65E-01,1.85E-01,1.91E-01,2.01E-01,1.76E-01,2.55E-01,2.11E-01,1.66E-01,1.62E-01,1.37E-01,1.37E-01,2.19E-01,2.09E-01,2.77E-01,3.00E-01,2.22E-01,1.53E-01,2.15E-01,2.83E-01
P07395,Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,pheT,40,2768.54,87305.38731,2,7.28E-01,1.12E+00,8.79E-01,4.08E-01,5.78E-01,6.40E-01,6.77E-01,6.85E-01,9.21E-01,8.18E-01,8.36E-01,7.47E-01,2.49E-01,2.76E-01,4.71E-01,6.98E-01,6.11E-01,6.26E-01,6.88E-01,5.61E-01,6.13E-01,8.60E-01
P07118,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,40,2513.25,108105.6884,2,3.09E-01,5.58E-01,3.84E-01,1.49E-01,1.84E-01,1.87E-01,2.00E-01,1.87E-01,2.33E-01,1.74E-01,1.35E-01,1.17E-01,9.12E-02,9.01E-02,1.73E-01,3.43E-01,2.03E-01,2.49E-01,2.13E-01,1.36E-01,1.89E-01,2.52E-01
P23847,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,dppA,40,2246.78,60237.23952,2,4.94E-01,2.48E-01,1.52E+00,8.17E-01,1.33E+00,8.66E-01,9.86E-01,1.17E+00,1.01E+00,1.20E+00,1.07E+00,9.33E-01,4.33E-01,4.71E-01,7.74E-01,5.16E-01,6.37E-01,7.70E-01,1.05E+00,8.00E-01,1.11E+00,7.46E-01
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,40,2531.68,66036.77654,2,9.93E-01,2.45E+00,1.11E+00,3.91E-01,7.02E-01,6.25E-01,6.19E-01,2.40E+00,7.75E-01,6.91E-01,5.64E-01,6.15E-01,8.77E-01,9.71E-01,1.18E+00,1.05E+00,1.44E+00,1.49E+00,7.47E-01,5.36E-01,7.56E-01,1.23E+00
P13029,Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2,katG,38,2675.38,79956.11435,2,2.92E-01,2.94E-01,2.52E-01,3.56E-01,4.28E-01,7.34E-01,4.22E-01,4.86E-01,4.38E-01,5.45E-01,6.07E-01,6.65E-01,6.44E-02,5.77E-02,2.05E-01,4.95E-01,2.82E-01,2.90E-01,5.18E-01,5.24E-01,4.32E-01,3.89E-01
P0AES4,DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1,gyrA,38,2233.08,96885.40294,2,1.21E-01,3.01E-01,1.76E-01,7.70E-02,9.32E-02,1.25E-01,1.14E-01,9.76E-02,1.86E-01,1.36E-01,1.18E-01,1.02E-01,6.45E-02,6.25E-02,8.14E-02,1.37E-01,1.08E-01,1.14E-01,1.17E-01,6.52E-02,1.02E-01,1.44E-01
P08200,Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1,icd,38,2595.05,45709.46787,2,2.56E+00,1.48E+00,2.61E+00,2.28E+00,2.25E+00,2.41E+00,1.87E+00,2.69E+00,2.32E+00,2.08E+00,1.69E+00,1.16E+00,1.04E+00,1.07E+00,2.84E+00,2.26E+00,2.14E+00,2.45E+00,2.55E+00,1.65E+00,2.13E+00,1.80E+00
P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,38,2757.77,50275.81931,2,2.02E+00,3.54E+00,4.07E+00,1.34E+00,1.98E+00,2.10E+00,2.21E+00,2.55E+00,2.01E+00,1.67E+00,1.22E+00,9.08E-01,5.88E-01,5.81E-01,1.16E+00,1.40E+00,1.10E+00,1.98E+00,2.03E+00,1.21E+00,2.16E+00,2.00E+00
P04825,Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,pepN,37,2372.98,98838.72264,2,2.13E-01,4.11E-01,3.19E-01,1.99E-01,2.37E-01,2.14E-01,2.33E-01,2.18E-01,2.23E-01,2.24E-01,2.11E-01,1.70E-01,9.91E-02,1.11E-01,1.73E-01,2.36E-01,2.24E-01,2.32E-01,2.34E-01,1.61E-01,2.17E-01,2.42E-01
P0AD61,Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1,pykF,36,2143.91,50679.24536,2,7.49E-01,8.70E-01,7.79E-01,3.75E-01,4.05E-01,5.90E-01,5.98E-01,2.87E-01,5.98E-01,4.33E-01,3.78E-01,4.42E-01,5.40E-01,4.94E-01,4.99E-01,7.57E-01,8.14E-01,8.56E-01,5.11E-01,5.16E-01,4.17E-01,9.95E-01
P0A9G6,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,aceA,36,2786.72,47473.57659,2,2.22E+00,1.20E+00,2.03E+00,1.91E+01,1.10E+01,6.93E+00,5.91E+00,3.84E+00,8.63E+00,1.45E+01,1.58E+01,1.72E+01,1.51E+00,1.47E+00,3.43E+00,4.81E+00,1.87E+00,2.21E+00,1.10E+01,1.54E+01,9.58E+00,2.63E+00
P0AC33,"Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2",fumA,36,2533.65,60242.56175,2,1.35E-01,6.24E-01,5.16E-01,4.78E-01,4.16E-01,2.81E-01,2.52E-01,3.29E-01,4.71E-01,3.73E-01,2.34E-01,1.54E-01,1.80E-02,1.78E-02,7.78E-02,6.49E-02,1.22E-01,2.15E-01,4.34E-01,2.09E-01,4.42E-01,2.75E-01
P09546,Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3,putA,36,2535.67,143707.3978,2,3.06E-02,3.61E-01,2.08E-01,2.80E-02,2.94E-02,4.11E-02,3.21E-02,2.86E-02,4.03E-02,3.59E-02,2.57E-02,2.27E-02,2.54E-02,2.71E-02,3.72E-02,2.69E-02,4.26E-02,3.94E-02,2.71E-02,1.84E-02,2.72E-02,3.25E-02
P21179,Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1,katE,35,2211.86,84092.42396,2,1.65E-01,1.06E-01,8.60E-02,2.88E-01,3.39E-01,2.54E-01,2.60E-01,1.61E-01,2.24E-01,3.23E-01,3.88E-01,4.39E-01,8.48E-02,8.41E-02,1.68E-01,8.61E-02,2.84E-01,1.23E-01,2.50E-01,4.65E-01,2.95E-01,1.57E-01
P0A6Z3,Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1,htpG,35,1847.19,71360.33894,2,2.48E-01,9.62E-01,5.71E-01,1.58E-01,2.30E-01,2.31E-01,2.34E-01,1.84E-01,2.30E-01,1.99E-01,1.59E-01,1.34E-01,2.24E-01,2.32E-01,2.21E-01,8.51E-01,3.10E-01,2.67E-01,2.35E-01,1.38E-01,2.50E-01,2.45E-01
P0A6P1,Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2,tsf,35,2366.23,30385.76806,2,1.00E+00,2.24E+00,1.82E+00,4.04E-01,6.26E-01,7.93E-01,7.63E-01,6.41E-01,5.44E-01,3.87E-01,3.16E-01,2.66E-01,5.60E-01,5.20E-01,1.07E+00,9.14E-01,1.09E+00,8.68E-01,5.94E-01,4.18E-01,6.22E-01,8.94E-01
P08839,Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1,ptsI,35,2206.55,63503.89517,2,1.07E+00,5.48E-01,4.64E-01,2.80E-01,3.43E-01,6.82E-01,4.34E-01,3.24E-01,7.33E-01,5.37E-01,4.26E-01,3.56E-01,3.23E-01,3.73E-01,5.83E-01,7.36E-01,6.47E-01,5.03E-01,5.65E-01,4.70E-01,3.61E-01,9.77E-01
P0A6E4,Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,argG,35,2674.37,49848.81733,2,6.89E-01,8.57E-02,1.08E-01,1.98E-01,2.63E-01,3.38E-01,3.56E-01,2.77E-01,3.55E-01,2.06E-01,1.97E-01,1.85E-01,1.80E-01,1.58E-01,3.98E-01,6.82E-01,5.17E-01,4.03E-01,3.28E-01,2.38E-01,3.17E-01,4.90E-01
P0A6F3,Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2,glpK,35,2432.72,56177.25025,2,4.63E-02,1.23E+00,2.33E+00,4.92E-02,6.42E-02,3.97E-02,2.60E+00,5.71E-02,7.92E-02,1.06E-01,1.01E-01,9.50E-02,4.78E-02,5.01E-02,3.80E-02,4.96E-02,3.92E-02,3.81E-02,7.31E-02,3.87E-02,5.32E-02,3.96E-02
P0A9M8,Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2,pta,34,2290.93,77105.88254,2,1.47E-01,3.43E-01,2.40E-01,1.12E-01,1.40E-01,1.59E-01,1.35E-01,4.50E-01,1.94E-01,1.91E-01,1.78E-01,1.80E-01,1.54E-01,1.47E-01,1.52E-01,2.28E-01,2.35E-01,1.93E-01,1.46E-01,1.16E-01,1.45E-01,1.87E-01
P0A850,Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1,tig,34,2152.85,48144.85133,2,1.99E+00,4.49E+00,2.79E+00,8.86E-01,1.23E+00,1.27E+00,1.46E+00,1.15E+00,1.18E+00,9.97E-01,7.66E-01,5.87E-01,6.07E-01,5.59E-01,1.36E+00,1.56E+00,1.26E+00,1.73E+00,1.44E+00,9.12E-01,1.50E+00,1.70E+00
P0A940,Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,bamA,34,2111.5,90478.46722,2,3.05E-01,4.54E-01,4.39E-01,1.75E-01,2.57E-01,2.70E-01,2.84E-01,2.95E-01,2.18E-01,2.03E-01,1.78E-01,1.44E-01,1.46E-01,1.22E-01,2.92E-01,2.85E-01,3.27E-01,2.78E-01,2.53E-01,1.89E-01,2.35E-01,2.85E-01
P05055,Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,pnp,34,2010.85,77034.97797,2,4.06E-01,8.02E-01,5.69E-01,3.00E-01,4.06E-01,4.44E-01,4.19E-01,3.75E-01,6.10E-01,5.21E-01,4.45E-01,4.05E-01,2.00E-01,1.86E-01,2.47E-01,3.38E-01,3.69E-01,4.26E-01,4.68E-01,2.86E-01,4.02E-01,5.18E-01
P0A6T1,Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1,pgi,34,2068.73,61472.99513,2,4.70E-01,5.93E-01,7.47E-01,2.98E-01,3.27E-01,4.35E-01,4.59E-01,2.63E-01,3.85E-01,3.11E-01,2.73E-01,2.49E-01,2.72E-01,2.71E-01,3.83E-01,5.98E-01,6.30E-01,5.71E-01,3.98E-01,3.53E-01,3.22E-01,4.73E-01
P0AC41,Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1,sdhA,34,2804.82,64363.08691,2,2.23E-01,8.94E-01,6.71E-01,6.80E-01,4.43E-01,4.82E-01,3.33E-01,5.33E-01,6.78E-01,6.24E-01,5.61E-01,5.24E-01,7.44E-02,7.62E-02,1.82E-01,2.57E-01,2.11E-01,3.40E-01,4.30E-01,2.92E-01,4.46E-01,3.60E-01
P0A9M0,Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1,lon,33,2210.84,87364.80487,2,1.65E-01,4.95E-01,2.50E-01,9.83E-02,1.41E-01,1.63E-01,1.79E-01,1.72E-01,2.11E-01,1.68E-01,1.27E-01,1.08E-01,1.08E-01,1.20E-01,1.43E-01,2.70E-01,2.04E-01,1.99E-01,2.03E-01,1.26E-01,1.73E-01,2.30E-01
P27550,Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2,acs,33,1996.87,72030.23532,2,1.19E-01,2.81E-01,4.86E-01,7.88E-01,1.43E+00,9.39E-01,4.74E-01,6.56E-01,8.75E-01,1.74E+00,1.73E+00,1.76E+00,4.33E-01,4.94E-01,1.35E-01,1.38E-01,1.30E-01,2.38E-01,1.21E+00,1.18E+00,1.10E+00,2.98E-01
P23538,Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5,ppsA,33,1820.57,87361.60027,2,1.68E-01,3.47E-01,3.13E-01,3.78E-01,4.41E-01,2.28E-01,2.69E-01,6.07E-01,2.69E-01,3.04E-01,2.71E-01,2.65E-01,1.84E-01,1.78E-01,2.75E-01,2.44E-01,2.97E-01,1.81E-01,2.80E-01,2.55E-01,5.09E-01,8.81E-02
P04079,GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1,guaA,33,2391.7,58623.86483,2,3.77E-01,3.72E-01,1.35E+00,1.36E-01,2.03E-01,2.47E-01,2.26E-01,1.60E-01,2.31E-01,1.43E-01,1.08E-01,7.87E-02,1.43E-01,1.41E-01,2.85E-01,3.22E-01,3.16E-01,2.60E-01,1.64E-01,1.26E-01,2.39E-01,2.91E-01
P22523,Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2,mukB,33,2059.61,170107.5558,2,5.61E-02,1.31E-01,7.34E-02,4.29E-02,4.95E-02,6.63E-02,5.63E-02,5.98E-02,8.26E-02,7.56E-02,7.51E-02,6.75E-02,1.36E-02,1.24E-02,4.38E-02,8.53E-02,5.92E-02,7.89E-02,7.35E-02,4.65E-02,5.87E-02,9.01E-02
P0A9W3,Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2,yjjK,32,2281.37,62386.25685,2,2.66E-01,4.75E-01,5.09E-01,1.65E-01,2.53E-01,2.55E-01,2.83E-01,2.34E-01,2.69E-01,1.88E-01,1.44E-01,1.39E-01,1.07E-01,1.11E-01,1.98E-01,3.50E-01,2.01E-01,2.49E-01,2.98E-01,1.90E-01,2.94E-01,3.19E-01
P0AES6,DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2,gyrB,32,2076.1,89875.87852,2,1.26E-01,2.54E-01,1.93E-01,7.88E-02,9.25E-02,1.17E-01,1.12E-01,1.04E-01,1.45E-01,1.13E-01,9.86E-02,7.97E-02,8.77E-02,8.17E-02,9.81E-02,1.26E-01,1.31E-01,1.17E-01,1.05E-01,7.08E-02,9.21E-02,1.50E-01
